ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,label
-120,-120,-120,-120,-120,-120,-120,-92,-120,-120,-120,2
-82,-91,-82,-79,-79,-93,-89,-120,-120,-120,-120,2
-94,-120,-72,-79,-87,-120,-120,-120,-120,-98,-120,2
-120,-85,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-98,-94,-120,-120,-120,2
-120,-120,-120,-120,-120,-94,-120,-120,-120,-120,-120,2
-83,-89,-71,-73,-79,-120,-120,-94,-120,-120,-120,2
-120,-120,-120,-120,-120,-95,-86,-120,-120,-120,-120,2
-82,-120,-77,-120,-80,-120,-120,-93,-120,-120,-120,2
-120,-90,-120,-120,-120,-94,-120,-120,-120,-120,-120,2
-120,-120,-120,-79,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-90,-120,-120,-120,-120,2
-120,-81,-70,-86,-83,-120,-88,-96,-120,-120,-120,2
-77,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-97,-120,-120,-120,-120,-120,2
-120,-120,-77,-81,-120,-94,-120,-120,-120,-120,-120,2
-83,-120,-120,-120,-88,-120,-87,-120,-120,-120,-120,2
-120,-77,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-82,-76,-78,-91,-82,-95,-120,-91,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-93,-120,-120,-120,-120,2
-85,-87,-73,-85,-84,-120,-91,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-120,-97,-120,-120,-120,2
-120,-120,-120,-75,-79,-120,-95,-94,-120,-120,-120,2
-81,-79,-73,-120,-120,-120,-120,-120,-120,-120,-120,2
-80,-120,-71,-120,-120,-120,-96,-94,-120,-120,-120,2
-120,-79,-120,-82,-79,-120,-120,-120,-120,-120,-120,2
-80,-120,-79,-80,-85,-120,-120,-120,-120,-120,-120,2
-120,-80,-120,-120,-120,-120,-120,-96,-120,-120,-120,2
-120,-120,-120,-120,-120,-96,-120,-120,-120,-120,-120,2
-89,-120,-66,-83,-81,-120,-88,-120,-120,-120,-120,2
-120,-80,-120,-120,-120,-95,-120,-120,-120,-120,-120,2
-82,-88,-66,-120,-120,-120,-120,-91,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-92,-120,-120,-120,-120,2
-120,-120,-120,-120,-80,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-86,-120,-120,-120,-120,-120,-120,-120,2
-81,-77,-72,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-77,-86,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-94,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-120,-95,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-89,-120,-120,-120,-120,2
-84,-77,-69,-70,-76,-120,-120,-93,-120,-98,-120,2
-120,-120,-120,-120,-120,-120,-94,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-101,-120,-120,-120,-120,-120,2
-82,-84,-70,-78,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-85,-120,-120,-120,-120,-120,-120,2
-77,-78,-69,-70,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-77,-120,-89,-120,-120,-96,-120,2
-120,-120,-120,-120,-120,-120,-120,-92,-120,-120,-120,2
-120,-120,-120,-120,-120,-95,-120,-120,-120,-120,-120,2
-120,-79,-70,-120,-85,-120,-92,-120,-120,-120,-120,2
-83,-120,-120,-72,-120,-95,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-120,-93,-120,-120,-120,2
-79,-79,-69,-71,-91,-120,-120,-96,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-89,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-93,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-120,-120,-120,-95,-120,2
-89,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-77,-69,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-76,-120,-120,-95,-120,-96,-120,2
-120,-120,-120,-87,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-90,-120,-120,-120,-120,2
-77,-120,-71,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-78,-120,-94,-76,-120,-120,-94,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-90,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-120,-120,-120,-94,-120,2
-120,-120,-120,-120,-81,-120,-120,-120,-120,-120,-120,2
-90,-120,-65,-83,-120,-120,-120,-98,-120,-120,-120,2
-120,-77,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-94,-86,-120,-120,-120,-120,2
-87,-83,-76,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-76,-120,-120,-120,-90,-120,-120,-120,2
-120,-120,-120,-120,-79,-120,-90,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-92,-120,-120,-120,-120,-120,2
-120,-90,-69,-120,-85,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-120,-89,-120,-120,-120,-120,2
-87,-120,-120,-94,-120,-92,-120,-94,-120,-120,-120,2
-120,-120,-71,-77,-79,-120,-120,-120,-120,-120,-120,2
-85,-89,-120,-120,-120,-120,-120,-120,-120,-120,-120,2
-120,-120,-120,-120,-120,-94,-92,-120,-120,-120,-120,2
-87,-81,-120,-78,-92,-120,-120,-120,-120,-120,-120,2
-120,-120,-75,-120,-120,-120,-120,-120,-120,-120,-120,2
